Geneid,ERR3322433_24d,ERR3322431_18d,ERR3322430_12d,ERR3322435_6d,ERR3322434_3d,ERR3322432_1d,ERR3322436_Fibroblast
ENSG00000000003,636,637,457,722,632,318,1204
ENSG00000000005,2,0,0,0,0,0,0
ENSG00000000419,677,1181,985,973,695,1729,795
ENSG00000000457,252,227,248,246,172,294,141
ENSG00000000460,68,47,62,121,78,87,64
ENSG00000000938,2,0,0,1,0,2,1
ENSG00000000971,713,430,342,312,239,166,66
ENSG00000001036,1300,2315,2049,2911,2731,1342,2194
ENSG00000001084,526,679,680,471,280,479,264
ENSG00000001167,1303,1015,1582,1704,1009,1453,266
ENSG00000001460,26,74,67,78,49,60,104
ENSG00000001461,1343,1178,730,481,469,1011,681
ENSG00000001497,1006,540,1037,735,483,486,413
ENSG00000001561,145,203,162,87,37,611,156
ENSG00000001617,252,339,648,590,471,254,135
ENSG00000001626,6,2,0,0,2,8,0
ENSG00000001629,2770,2019,2828,2494,1787,2611,762
ENSG00000001630,88,136,95,121,65,102,20
ENSG00000001631,241,131,261,212,142,213,104
ENSG00000002016,307,133,369,293,184,237,109
ENSG00000002079,0,0,0,0,0,0,0
ENSG00000002330,246,444,272,300,263,582,384
ENSG00000002549,1630,1201,1524,1664,1117,1092,1119
ENSG00000002586,0,0,0,0,0,0,0
ENSG00000002587,273,14,1,1,0,36,0
ENSG00000002726,0,0,0,0,0,0,0
ENSG00000002745,901,801,877,725,396,1466,8
ENSG00000002746,35,45,22,41,24,34,38
ENSG00000002822,1,1,2,3,1,0,1
ENSG00000002834,3095,3911,4050,5081,4121,1675,4686
ENSG00000002919,469,444,516,543,298,826,273
ENSG00000002933,22,2,1,0,0,0,0
ENSG00000003056,1417,1668,2921,2898,1911,2555,768
ENSG00000003096,233,523,743,388,162,1663,8
ENSG00000003137,2273,1365,2037,4678,383,427,254
ENSG00000003147,21,6,2,2,0,44,2
ENSG00000003249,315,431,428,207,106,573,76
ENSG00000003393,1094,796,1369,1246,835,1084,443
ENSG00000003400,42,179,113,183,112,61,94
ENSG00000003402,1457,1024,1576,1339,1089,612,574
ENSG00000003436,1392,3197,1875,2755,2671,1416,1755
ENSG00000003509,504,257,555,392,281,614,145
ENSG00000003756,2759,1145,3541,2053,1602,2781,743
ENSG00000003987,54,28,55,28,31,77,12
ENSG00000003989,710,538,1813,1938,291,343,0
ENSG00000004059,1293,1300,1076,994,663,2385,887
ENSG00000004139,356,208,383,216,93,347,40
ENSG00000004142,1704,1961,2037,2178,1364,1697,1415
ENSG00000004399,5491,4732,4915,4388,2202,2804,1262
ENSG00000004455,1448,2019,2585,2352,1552,2084,2065
ENSG00000004468,37,19,22,1,3,25,0
ENSG00000004478,1112,698,913,1210,615,1219,427
ENSG00000004487,2834,2339,3412,3218,2254,2924,1306
ENSG00000004534,2888,1416,4214,2391,1841,1563,897
ENSG00000004660,1019,1101,1358,433,206,1690,107
ENSG00000004700,954,960,1346,1447,941,1231,580
ENSG00000004766,768,700,841,795,483,2908,409
ENSG00000004776,73,136,25,88,101,12,206
ENSG00000004777,265,53,190,57,59,43,13
ENSG00000004779,760,1527,1498,1343,778,2492,1543
ENSG00000004799,155,514,237,242,23,1121,6
ENSG00000004809,1,0,0,0,0,0,0
ENSG00000004838,21,3,9,2,4,1,10
ENSG00000004846,0,0,0,0,0,0,0
ENSG00000004848,1,4,1,0,0,3,0
ENSG00000004864,616,477,919,839,370,739,104
ENSG00000004866,708,574,825,670,352,1002,308
ENSG00000004897,2148,2583,3358,3479,2254,4071,1229
ENSG00000004939,0,0,0,0,0,1,1
ENSG00000004948,0,0,0,0,0,0,0
ENSG00000004961,619,932,1229,1363,929,1121,551
ENSG00000004975,953,1034,1324,1536,1098,711,733
ENSG00000005001,0,0,0,0,0,0,0
ENSG00000005007,3403,2038,3613,2878,2048,1467,811
ENSG00000005020,858,1142,1031,981,763,1464,567
ENSG00000005022,1947,3679,6409,4988,2532,5654,2091
ENSG00000005059,208,225,181,163,75,503,261
ENSG00000005073,76,1426,1701,1777,1388,1269,659
ENSG00000005075,252,289,271,367,202,357,359
ENSG00000005100,609,407,829,774,438,357,222
ENSG00000005102,3,1,1,1,0,0,9
ENSG00000005108,362,340,474,123,34,860,0
ENSG00000005156,579,386,556,548,302,388,165
ENSG00000005175,704,729,963,1188,735,1249,639
ENSG00000005187,11,43,29,11,21,14,12
ENSG00000005189,47,51,39,52,42,86,60
